Name	Symbol	Mass	Abund.
Palladium	Pd(108)	107.903894	26.46
Palladium	Pd(110)	109.905169	11.72
Phosphorus	P(31)	30.973763	100
Platinum	Pt(190)	189.959937	0.01
Platinum	Pt(192)	191.961049	0.79
Platinum	Pt(194)	193.962679	32.9
Platinum	Pt(195)	194.964785	33.8
Platinum	Pt(196)	195.964947	25.3
Platinum	Pt(198)	197.967879	7.2
Potassium	K(39)	38.963708	93.2
Potassium	K(40)	39.963999	0.012
Potassium	K(41)	40.961825	6.73
Praseodymium	Pr(141)	140.907657	100
Rhenium	Re(185)	184.952977	37.4
Rhenium	Re(187)	186.955765	62.6
Rhodium	Rh(103)	102.905503	100
Rubidium	Rb(85)	84.9118	72.17
Rubidium	Rb(87)	86.909184	27.84
Ruthenium	Ru(96)	95.907596	5.52
Ruthenium	Ru(98)	97.905287	1.88
Ruthenium	Ru(99)	98.905937	12.7
Ruthenium	Ru(100)	99.904218	12.6
Ruthenium	Ru(101)	100.905581	17
Ruthenium	Ru(102)	101.904348	31.6
Ruthenium	Ru(104)	103.905422	18.7
Samarium	Sm(144)	143.912009	3.1
Samarium	Sm(147)	146.914907	15
Samarium	Sm(148)	147.914832	11.3
Samarium	Sm(149)	148.917193	13.8
Samarium	Sm(150)	149.917285	7.4
Samarium	Sm(152)	151.919741	26.7
Samarium	Sm(154)	153.922218	22.7
Scandium	Sc(45)	44.955914	100
Selenium	Se(74)	73.922477	0.9
Selenium	Se(76)	75.919207	9
Selenium	Se(77)	76.919908	7.6
Selenium	Se(78)	77.917304	23.5
Selenium	Se(80)	79.916521	49.6
Selenium	Se(82)	81.916709	9.4
Silicon	Si(28)	27.976928	92.23
Silicon	Si(29)	28.976496	4.67
Silicon	Si(30)	29.973772	3.1
Silver	Ag(107)	106.905095	51.84
Silver	Ag(109)	108.904754	48.16
Sodium	Na(23)	22.98977	100
Strontium	Sr(84)	83.913428	0.56
Strontium	Sr(86)	85.909273	9.86
Strontium	Sr(87)	86.908902	7
Strontium	Sr(88)	87.905625	82.58
Sulfur	S(32)	31.972072	95.02
Sulfur	S(33)	32.971459	0.75
Sulfur	S(34)	33.967868	4.21
Sulfur	S(36)	35.967079	0.02
Tantalum	Ta(180)	179.947489	0.012
Tantalum	Ta(181)	180.948014	99.99
Tellurium	Te(120)	119.904021	0.096
Tellurium	Te(122)	121.903055	2.6
Tellurium	Te(123)	122.904278	0.91
Tellurium	Te(124)	123.902825	4.82
Tellurium	Te(125)	124.904435	7.14
Tellurium	Te(126)	125.90331	18.95
Tellurium	Te(128)	127.904464	31.69
Tellurium	Te(130)	129.906229	33.8
Terbium	Tb(159)	158.92535	100
Thallium	Tl(203)	202.972336	29.52
Thallium	Tl(205)	204.97441	70.48
Thorium	Th(232)	232.038054	100
Thulium	Tm(169)	168.934225	100
Tin	Sn(112)	111.904826	0.97
Tin	Sn(114)	113.902784	0.65
Tin	Sn(115)	114.903348	0.36
Tin	Sn(116)	115.901744	14.7
Tin	Sn(117)	116.902954	7.7
Tin	Sn(118)	117.901607	24.3
Tin	Sn(119)	118.90331	8.6
Tin	Sn(120)	119.902199	32.4
Tin	Sn(122)	121.90344	4.6
Tin	Sn(124)	123.905271	5.6
Titanium	Ti(46)	45.952633	8
Titanium	Ti(47)	46.951765	7.3
Titanium	Ti(48)	47.947947	73.8
Titanium	Ti(49)	48.947871	5.5
Titanium	Ti(50)	49.944786	5.4
Tungsten	W(180)	179.946727	0.13
Tungsten	W(182)	181.948225	26.3
Tungsten	W(183)	182.950245	14.3
Tungsten	W(184)	183.950953	30.67
Tungsten	W(186)	185.954377	28.6
Uranium	U(234)	234.040947	0.006
Uranium	U(235)	235.043925	0.72
Uranium	U(238)	238.050786	99.27
Vanadium	V(50)	49.947161	0.25
Vanadium	V(51)	50.943963	99.75
Xenon	Xe(124)	123.905894	0.1
Xenon	X(126)	125.904281	0.09
Xenon	Xe(128)	127.903531	1.91
Xenon	Xe(129)	128.90478	26.4
Xenon	Xe(130)	129.90351	4.1
Xenon	Xe(131)	130.905076	21.2
Xenon	Xe(132)	131.904148	26.9
Xenon	Xe(134)	133.905395	10.4
Xenon	Xe(136)	135.907219	8.9
Ytterbium	Yb(168)	167.933908	0.13
Ytterbium	Yb(170)	169.934774	3.05
Ytterbium	Yb(171)	170.936338	14.3
Ytterbium	Yb(172)	171.936393	21.9
Ytterbium	Yb(173)	172.938222	16.12
Ytterbium	Yb(174)	173.938873	31.8
Ytterbium	Yb(176)	175.942576	12.7
Yttrium	Y(89)	88.905856	100
Zinc	Zn(64)	63.929145	48.6
Zinc	Zn(66)	65.926035	27.9
Zinc	Zn(67)	66.927129	4.1
Zinc	Zn(68)	67.924846	18.8
Zinc	Zn(70)	69.925325	0.6
Zirconium	Zr(90)	89.904708	51.45
Zirconium	Zr(91)	90.905644	11.27
Zirconium	Zr(92)	91.905039	17.17
Zirconium	Zr(94)	93.906319	17.33
Zirconium	Zr(96)	95.908272	2.78
